OBJECTID *,ID,Shape *,gridcode_kWh/m2,DT,DT_PCODE,TS_PCODE,TS_Name,Shape_Length,Shape_Area(sqm),GHI_kWh,GHI_MW
370,370,Polygon,1830,Yangon (North),MMR013D001,MMR013006,Htantabin,1660.307792,93597.67477,171283700,19.55294
371,371,Polygon,1830,Yangon (North),MMR013D001,MMR013006,Htantabin,4868.089207,956283.5314,1749999000,199.7716
372,372,Polygon,1830,Yangon (North),MMR013D001,MMR013006,Htantabin,1705.122962,160770.0072,294209100,33.58552
373,373,Polygon,1830,Yangon (North),MMR013D001,MMR013006,Htantabin,1791.490007,122408.2684,224007100,25.57159
374,374,Polygon,1830,Yangon (North),MMR013D001,MMR013006,Htantabin,1692.708214,121053.3238,221527600,25.28854
375,375,Polygon,1830,Yangon (North),MMR013D001,MMR013006,Htantabin,3921.079177,673372.0749,1232271000,140.6702
376,376,Polygon,1830,Yangon (North),MMR013D001,MMR013006,Htantabin,2250.887075,316655.7891,579480100,66.1507
377,377,Polygon,1830,Yangon (North),MMR013D001,MMR013006,Htantabin,4664.356059,796446.6439,1457497000,166.381
378,378,Polygon,1830,Yangon (North),MMR013D001,MMR013006,Htantabin,2110.110319,202782.7222,371092400,42.36214
379,379,Polygon,1830,Yangon (North),MMR013D001,MMR013006,Htantabin,743.951077,14886.9225,27243070,3.109939
380,380,Polygon,1830,Yangon (North),MMR013D001,MMR013006,Htantabin,2257.339251,224239.7023,410358700,46.8446
381,381,Polygon,1781,Yangon (East),MMR013D002,MMR013021,Dagon Myothit (Seikkan),186.516306,1448.248874,2579331,0.294444
382,382,Polygon,1807,Yangon (South),MMR013D003,MMR013027,Twantay,3880.930749,565503.5063,1021865000,116.6512
383,383,Polygon,1829,Yangon (North),MMR013D001,MMR013005,Taikkyi,3192.736376,427439.226,781786400,89.24502
384,384,Polygon,1829,Yangon (North),MMR013D001,MMR013005,Taikkyi,717.99471,23224.27562,42477200,4.848995
385,385,Polygon,1829,Yangon (North),MMR013D001,MMR013005,Taikkyi,1711.098052,123361.7947,225628700,25.7567
386,386,Polygon,1829,Yangon (North),MMR013D001,MMR013005,Taikkyi,3153.558925,474914.4833,868618600,99.15737
387,387,Polygon,1829,Yangon (North),MMR013D001,MMR013005,Taikkyi,4076.098126,469605.1172,858907800,98.04884
388,388,Polygon,1829,Yangon (North),MMR013D001,MMR013005,Taikkyi,1962.747474,188292.3681,344386800,39.31356
389,389,Polygon,1829,Yangon (North),MMR013D001,MMR013005,Taikkyi,4708.07601,1007502.336,1842722000,210.3564
390,390,Polygon,1829,Yangon (North),MMR013D001,MMR013005,Taikkyi,10437.79195,2416741.985,4420221000,504.5914
391,391,Polygon,1829,Yangon (North),MMR013D001,MMR013005,Taikkyi,977.764747,20550.397,37586680,4.290717
392,392,Polygon,1829,Yangon (North),MMR013D001,MMR013005,Taikkyi,3187.362071,566674.4739,1036448000,118.3159
393,393,Polygon,1829,Yangon (North),MMR013D001,MMR013005,Taikkyi,2653.548697,283045.5187,517690200,59.09706
394,394,Polygon,1829,Yangon (North),MMR013D001,MMR013005,Taikkyi,4881.577783,1201517.284,2197575000,250.8647
395,395,Polygon,1829,Yangon (North),MMR013D001,MMR013005,Taikkyi,2250.887075,316655.7891,579163500,66.11455
396,396,Polygon,1829,Yangon (North),MMR013D001,MMR013005,Taikkyi,3376.330613,633311.5782,1158327000,132.2291
397,397,Polygon,1829,Yangon (North),MMR013D001,MMR013005,Taikkyi,4857.674022,1460305.145,2670898000,304.8971
398,398,Polygon,1829,Yangon (North),MMR013D001,MMR013005,Taikkyi,2110.110319,202782.7222,370889600,42.339
399,399,Polygon,1829,Yangon (North),MMR013D001,MMR013006,Htantabin,1863.4713,201058.2704,367735600,41.97895
400,400,Polygon,1829,Yangon (North),MMR013D001,MMR013006,Htantabin,2250.887075,316655.7891,579163500,66.11455
401,401,Polygon,1829,Yangon (North),MMR013D001,MMR013005,Taikkyi,13160.88397,2362079.236,4320243000,493.1784
402,402,Polygon,1829,Yangon (North),MMR013D001,MMR013005,Taikkyi,2324.25989,335581.2599,613778100,70.06599
403,403,Polygon,1829,Yangon (North),MMR013D001,MMR013006,Htantabin,2927.031315,371407.8234,679304900,77.54622
404,404,Polygon,1829,Yangon (North),MMR013D001,MMR013006,Htantabin,3376.330613,633311.5782,1158327000,132.2291
405,405,Polygon,1829,Yangon (North),MMR013D001,MMR013006,Htantabin,2190.235616,274413.3334,501902000,57.29475
406,406,Polygon,1829,Yangon (North),MMR013D001,MMR013006,Htantabin,1958.597884,233238.7818,426593700,48.69791
407,407,Polygon,1829,Yangon (North),MMR013D001,MMR013006,Htantabin,4361.210631,916930.6648,1677066000,191.4459
408,408,Polygon,1829,Yangon (North),MMR013D001,MMR013006,Htantabin,2412.210267,299393.8276,547591300,62.51042
409,409,Polygon,1829,Yangon (North),MMR013D001,MMR013006,Htantabin,1763.07227,154765.983,283067000,32.31358
410,410,Polygon,1829,Yangon (North),MMR013D001,MMR013006,Htantabin,1846.295776,194247.5206,355278700,40.55693
411,411,Polygon,1829,Yangon (North),MMR013D001,MMR013006,Htantabin,2112.6579,288614.6122,527876100,60.25983
412,412,Polygon,1829,Yangon (North),MMR013D001,MMR013006,Htantabin,5845.981083,1555308.773,2844660000,324.7328
413,413,Polygon,1829,Yangon (North),MMR013D001,MMR013006,Htantabin,499.90038,9872.373641,18056570,2.061253
414,414,Polygon,1829,Yangon (North),MMR013D001,MMR013006,Htantabin,409.360542,7480.049691,13681010,1.561759
415,415,Polygon,1829,Yangon (North),MMR013D001,MMR013006,Htantabin,82.886361,33.138025,60609.45,0.006919
416,416,Polygon,1829,Yangon (North),MMR013D001,MMR013006,Htantabin,1497.102995,90026.85149,164659100,18.7967
417,417,Polygon,1829,Yangon (North),MMR013D001,MMR013006,Htantabin,2250.887075,316655.7891,579163500,66.11455
